NUP;ArquivoEsperado;Extraido
25000.173262/2015-16;25000173262201516.pdf;Nao
25000.138721/2021-55;25000138721202155.pdf;Nao
25000.221979/2025-45;25000221979202545.pdf;Nao
25000.024771/2010-01;25000024771201001.pdf;Nao
25000.204418/2011-86;25000204418201186.pdf;Nao
25000.107311/2015-14;25000107311201514.pdf;Nao
25000.177411/2020-75;25000177411202075.pdf;Nao
25000.669297/2009-08;25000669297200908.pdf;Nao
25000.096150/2011-01;25000096150201101.pdf;Nao
25000.093382/2012-80;25000093382201280.pdf;Nao
25000.111844/2015-09;25000111844201509.pdf;Nao
25000.054325/2024-19;25000054325202419.pdf;Nao
25000.023534/2010-15;25000023534201015.pdf;Nao
25000.013643/2012-96;25000013643201296.pdf;Nao
25000.213239/2012-11;25000213239201211.pdf;Nao
25000.094560/2015-32;25000094560201532.pdf;Nao
25000.118831/2021-09;25000118831202109.pdf;Nao
25000.143106/2025-94;25000143106202594.pdf;Nao
